브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,원가견적번호,발주통화,제조업체,견적서제출일자,PO_CLS,마감형태,내수구분,적용환율,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD)_공임,(USD)_본사공급자재,(USD)_정상마진,(USD)_기타마진/경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)_본사공급자재,(KRW)_정상마진,(KRW)_기타마진/경비
I,24S,7AMTM0141,Inner,맨투맨,7AMTM0141C0001,89000,1682,CQ231000779,KRW,주식회사 신즈디자인하우스,2023-10-26,L,직송/원화/세금계산서/FOB,직송,1302.77,7.371217,0.156589,0.469768,0.259447,2.000353,0.859707,1.499881,1.228152,9603.0,204.0,612.0,338.0,2606.0,1120.0,1954.0,1600.0
I,24S,7AMTM0141,Inner,맨투맨,7AMTM0141K0001,89000,1720,CQ231000778,KRW,주식회사 신즈디자인하우스,2023-10-26,B,내수/원화/세금계산서/DDP,내수,1302.77,7.371217,0.156589,0.469768,0.259447,2.000353,0.842052,1.499881,1.228152,9603.0,204.0,612.0,338.0,2606.0,1097.0,1954.0,1600.0
I,24S,7AMTMD141,Inner,맨투맨,7AMTMD141C0001,99000,2244,CQ231000781,KRW,주식회사 신즈디자인하우스,2023-10-26,L,직송/원화/세금계산서/FOB,직송,1302.77,6.630487,0.0,1.644189,0.259447,2.599845,1.128365,1.63114,0.642477,8638.0,0.0,2142.0,338.0,3387.0,1470.0,2125.0,837.0
I,24S,7AMTMD141,Inner,맨투맨,7AMTMD141K0001,99000,2228,CQ231000780,KRW,주식회사 신즈디자인하우스,2023-10-26,B,내수/원화/세금계산서/DDP,내수,1302.77,6.630487,0.0,1.644189,0.259447,2.599845,1.11071,1.63114,0.642477,8638.0,0.0,2142.0,338.0,3387.0,1447.0,2125.0,837.0
I,24S,7AMTMD341,Inner,맨투맨,7AMTMD341C0001,79000,3679,CQ231000635,KRW,(주)다올인터내셔널,2023-10-24,B,내수/원화/세금계산서/DDP,내수,1302.77,4.748344,1.44922,0.241792,0.228743,1.3502,0.092111,1.16828,1.307215,6186.0,1888.0,315.0,298.0,1759.0,120.0,1522.0,1703.0
I,24S,7AMTMD341,Inner,맨투맨,7AMTMD341K0001,79000,2300,CQ231000634,KRW,(주)다올인터내셔널,2023-10-24,B,내수/원화/세금계산서/DDP,내수,1302.77,4.748344,1.44922,0.241792,0.248701,1.3502,0.074457,1.16828,0.992501,6186.0,1888.0,315.0,324.0,1759.0,97.0,1522.0,1293.0
I,24S,7AMTMT141,Inner,맨투맨,7AMTMT141C0001,89000,1112,CQ231000783,KRW,주식회사 신즈디자인하우스,2023-10-26,L,직송/원화/세금계산서/FOB,직송,1302.77,8.625467,1.526747,0.849728,0.267123,2.649739,0.092111,2.047944,0.812883,11237.0,1989.0,1107.0,348.0,3452.0,120.0,2668.0,1059.0
I,24S,7AMTMT141,Inner,맨투맨,7AMTMT141K0001,89000,1600,CQ231000782,KRW,주식회사 신즈디자인하우스,2023-10-26,B,내수/원화/세금계산서/DDP,내수,1302.77,8.625467,1.526747,0.849728,0.267123,2.649739,0.074457,2.047944,0.812883,11237.0,1989.0,1107.0,348.0,3452.0,97.0,2668.0,1059.0
I,24S,7AMTV0141,Inner,맨투맨,7AMTV0141C0001,79000,1768,CQ231000447,KRW,㈜에이플러스 스포츠,2023-10-22,L,직송/원화/세금계산서/FOB,직송,1302.77,4.594825,3.004368,0.550366,0.248701,1.800011,0.161195,1.492205,0.458254,5986.0,3914.0,717.0,324.0,2345.0,210.0,1944.0,597.0
I,24S,7AMTV0141,Inner,맨투맨,7AMTV0141K0001,79000,4239,CQ231000446,KRW,㈜에이플러스 스포츠,2023-10-22,B,내수/원화/세금계산서/DDP,내수,1302.77,4.594825,3.004368,0.550366,0.248701,1.800011,0.14354,1.492205,0.458254,5986.0,3914.0,717.0,324.0,2345.0,187.0,1944.0,597.0
I,24S,7AMTV0241,Inner,맨투맨,7AMTV0241C0001,89000,367,CQ231101833,KRW,주식회사 신즈디자인하우스,2023-12-05,L,직송/원화/세금계산서/FOB,직송,1302.77,5.025446,0.0,1.33101,0.259447,2.40027,1.550542,1.313355,0.554971,6547.0,0.0,1734.0,338.0,3127.0,2020.0,1711.0,723.0
I,24S,7AMTV0241,Inner,맨투맨,7AMTV0241K0001,89000,1700,CQ231101832,KRW,주식회사 신즈디자인하우스,2023-12-05,B,내수/원화/세금계산서/DDP,내수,1302.77,5.025446,0.0,1.33101,0.259447,2.40027,1.532888,1.313355,0.554971,6547.0,0.0,1734.0,338.0,3127.0,1997.0,1711.0,723.0
