브랜드,시즌,스타일,중분류,아이템명,PO,TAG,수량,원가견적번호,발주통화,제조업체,견적서제출일자,PO_CLS,마감형태,내수구분,적용환율,(USD)_원자재,(USD)_아트웍,(USD)_부자재,(USD)_택/라벨,(USD)_공임,(USD)_본사공급자재,(USD)_정상마진,(USD)_기타마진/경비,(KRW)_원자재,(KRW)_아트웍,(KRW)_부자재,(KRW)_택/라벨,(KRW)_공임,(KRW)_본사공급자재,(KRW)_정상마진,(KRW)_기타마진/경비
I,23F,7ABNB2136,Headwear,비니,7ABNB2136C0001,49000,466,CQ230601228,KRW,조아니트,2023-06-14,B,내수/원화/세금계산서/DDP,내수,1330.0,1.472932,1.052632,1.845865,0.193233,1.804511,0.017293,0.926316,0.11203,1959.0,1400.0,2455.0,257.0,2400.0,23.0,1232.0,149.0
I,23F,7ABNB2136,Headwear,비니,7ABNB2136K0001,49000,1850,CQ230601206,KRW,조아니트,2023-06-14,B,내수/원화/세금계산서/DDP,내수,1330.0,1.472932,1.052632,1.845865,0.193233,1.804511,0.017293,0.926316,0.11203,1959.0,1400.0,2455.0,257.0,2400.0,23.0,1232.0,149.0
I,23F,7ABNB2236,Headwear,비니,7ABNB2236C0001,59000,442,CQ230601229,KRW,조아니트,2023-06-14,B,내수/원화/세금계산서/DDP,내수,1330.0,3.067669,1.052632,1.74812,0.193233,1.12782,0.017293,1.049624,0.047368,4080.0,1400.0,2325.0,257.0,1500.0,23.0,1396.0,63.0
I,23F,7ABNB2236,Headwear,비니,7ABNB2236K0001,59000,1330,CQ230601208,KRW,조아니트,2023-06-14,B,내수/원화/세금계산서/DDP,내수,1330.0,3.067669,1.052632,1.74812,0.193233,1.12782,0.017293,1.049624,0.047368,4080.0,1400.0,2325.0,257.0,1500.0,23.0,1396.0,63.0
I,23F,7ABNB2B36,Headwear,비니,7ABNB2B36K0001,33000,2400,CQ230602013,KRW,조아니트,2023-06-21,B,내수/원화/세금계산서/DDP,내수,1330.0,0.397744,0.601504,1.575188,0.174436,1.390977,0.037594,0.594737,0.009023,529.0,800.0,2095.0,232.0,1850.0,50.0,791.0,12.0
I,23F,7ABNB2B36,Headwear,비니,7ABNB2B36K0002,33000,2600,CQ231000672,KRW,조아니트,2023-10-25,B,내수/원화/세금계산서/DDP,내수,1330.0,0.397744,0.601504,1.575188,0.174436,1.390977,0.037594,0.594737,0.009023,529.0,800.0,2095.0,232.0,1850.0,50.0,791.0,12.0
I,23F,7ABNB6036,Headwear,비니,7ABNB6036C0001,31000,2074,CQ230601232,KRW,조아니트,2023-06-14,B,내수/원화/세금계산서/DDP,내수,1330.0,0.477444,0.827068,1.37218,0.193233,1.052632,0.017293,0.559398,0.017293,635.0,1100.0,1825.0,257.0,1400.0,23.0,744.0,23.0
I,23F,7ABNB6036,Headwear,비니,7ABNB6036C0002,31000,1200,CQ230601230,KRW,조아니트,2023-06-14,B,내수/원화/세금계산서/DDP,내수,1330.0,0.477444,0.827068,1.37218,0.193233,1.052632,0.017293,0.559398,0.017293,635.0,1100.0,1825.0,257.0,1400.0,23.0,744.0,23.0
I,23F,7ABNB6036,Headwear,비니,7ABNB6036K0001,31000,1730,CQ230601209,KRW,조아니트,2023-06-14,B,내수/원화/세금계산서/DDP,내수,1330.0,0.477444,0.827068,1.37218,0.193233,1.052632,0.017293,0.559398,0.017293,635.0,1100.0,1825.0,257.0,1400.0,23.0,744.0,23.0
I,23F,7ABNB6036,Headwear,비니,7ABNB6036K0002,31000,700,CQ230800961,KRW,조아니트,2023-08-31,B,내수/원화/세금계산서/DDP,내수,1330.0,0.477444,0.827068,1.37218,0.173684,1.052632,0.037594,0.559398,0.009023,635.0,1100.0,1825.0,231.0,1400.0,50.0,744.0,12.0
I,23F,7ABNC0136,Headwear,비니,7ABNC0136C0001,49000,1855,CQ230601234,KRW,조아니트,2023-06-14,B,내수/원화/세금계산서/DDP,내수,1330.0,2.65188,1.503759,1.898496,0.193233,1.428571,0.017293,1.122556,0.066165,3527.0,2000.0,2525.0,257.0,1900.0,23.0,1493.0,88.0
I,23F,7ABNC0136,Headwear,비니,7ABNC0136K0001,49000,2584,CQ230601210,KRW,조아니트,2023-06-14,B,내수/원화/세금계산서/DDP,내수,1330.0,2.65188,1.503759,1.898496,0.193233,1.428571,0.017293,1.122556,0.066165,3527.0,2000.0,2525.0,257.0,1900.0,23.0,1493.0,88.0
I,23F,7ABNC0236,Headwear,비니,7ABNC0236K0001,59000,2564,CQ230601222,KRW,조아니트,2023-06-14,B,내수/원화/세금계산서/DDP,내수,1330.0,3.106015,1.969925,1.672932,0.193233,2.556391,0.017293,1.395489,0.077444,4131.0,2620.0,2225.0,257.0,3400.0,23.0,1856.0,103.0
I,23F,7ABND0236,Headwear,비니,7ABND0236K0001,33000,600,CQ230602093,KRW,주식회사 오짠,2023-06-22,B,내수/원화/세금계산서/DDP,내수,1330.0,0.912782,0.413534,1.766917,0.174436,1.597744,0.017293,0.703759,0.009023,1214.0,550.0,2350.0,232.0,2125.0,23.0,936.0,12.0
I,23F,7ABNH0136,Headwear,비니,7ABNH0136C0001,35000,3362,CQ230601844,KRW,주식회사 오짠,2023-06-22,B,내수/원화/세금계산서/DDP,내수,1330.0,1.136842,0.263158,2.067669,0.174436,1.537594,0.017293,0.751128,0.009023,1512.0,350.0,2750.0,232.0,2045.0,23.0,999.0,12.0
I,23F,7ABNH0136,Headwear,비니,7ABNH0136K0001,35000,4070,CQ230601831,KRW,주식회사 오짠,2023-06-22,B,내수/원화/세금계산서/DDP,내수,1330.0,1.136842,0.263158,2.067669,0.174436,1.537594,0.017293,0.751128,0.009023,1512.0,350.0,2750.0,232.0,2045.0,23.0,999.0,12.0
I,23F,7ABNH0236,Headwear,비니,7ABNH0236C0001,49000,1823,CQ230601845,KRW,주식회사 오짠,2023-06-22,B,내수/원화/세금계산서/DDP,내수,1330.0,0.784211,0.263158,3.537594,0.174436,1.368421,0.017293,0.893233,0.009023,1043.0,350.0,4705.0,232.0,1820.0,23.0,1188.0,12.0
I,23F,7ABNH0236,Headwear,비니,7ABNH0236K0001,49000,3890,CQ230601834,KRW,주식회사 오짠,2023-06-22,B,내수/원화/세금계산서/DDP,내수,1330.0,0.784211,0.263158,3.537594,0.174436,1.368421,0.017293,0.893233,0.009023,1043.0,350.0,4705.0,232.0,1820.0,23.0,1188.0,12.0
I,23F,7ABNM0136,Headwear,비니,7ABNM0136C0001,49000,1359,CQ230601843,KRW,주식회사 오짠,2023-06-22,B,내수/원화/세금계산서/DDP,내수,1330.0,1.052632,0.263158,2.099248,0.174436,1.289474,0.017293,0.706015,0.009023,1400.0,350.0,2792.0,232.0,1715.0,23.0,939.0,12.0
I,23F,7ABNM0136,Headwear,비니,7ABNM0136K0001,49000,1408,CQ230601835,KRW,주식회사 오짠,2023-06-22,B,내수/원화/세금계산서/DDP,내수,1330.0,1.052632,0.263158,2.099248,0.174436,1.289474,0.017293,0.706015,0.009023,1400.0,350.0,2792.0,232.0,1715.0,23.0,939.0,12.0
I,23F,7ABNMD136,Headwear,비니,7ABNMD136C0001,59000,585,CQ230602265,KRW,주식회사 와이엠어패럴,2023-06-22,B,내수/원화/세금계산서/DDP,내수,1330.0,0.834586,0.917293,0.146617,0.26015,4.263158,0.017293,0.92406,0.172932,1110.0,1220.0,195.0,346.0,5670.0,23.0,1229.0,230.0
I,23F,7ABNMD136,Headwear,비니,7ABNMD136K0001,59000,1554,CQ230602262,KRW,주식회사 와이엠어패럴,2023-06-22,B,내수/원화/세금계산서/DDP,내수,1330.0,0.834586,0.0,0.146617,0.26015,4.263158,0.938346,0.786466,0.172932,1110.0,0.0,195.0,346.0,5670.0,1248.0,1046.0,230.0
